date,A2C,DDPG,PPO,TD3,SAC
2021-08-17,183163.86572596748,235431.5227596665,161708.57736456307,184288.36263504036,206919.24068593606
2021-08-18,187485.80713221748,234122.95073055272,163158.80466711434,188796.48483505257,207766.34697103128
2021-08-20,185068.640933487,231833.17894100194,161827.54596960457,186257.7928489686,205497.23945760354
2021-08-23,181636.96213099678,234313.6862499619,163794.09668981942,182776.03448715218,204463.84900045022
2021-08-24,184141.14306971748,240585.11486171727,169806.52815496834,185419.3736061097,207168.3381590806
2021-08-25,182423.7359347077,240597.1501018906,168265.72704565438,183600.58549728402,206522.3767867051
2021-08-26,180548.72119471748,238809.64072536473,169817.80575048836,181714.70375289925,204978.3588118516
2021-08-27,186783.5015597077,237508.60257076268,170654.35123693856,188174.0030845643,207008.70089864358
2021-08-30,190044.60400721748,236287.4556438828,174134.95892584237,191533.0728096009,210180.07151174173
2021-08-31,193297.14786097725,237857.03283809667,176090.57155096444,194807.28748550423,210958.66477346048
2021-09-01,191579.58536097725,237286.06466030126,175076.95377600106,193091.46603622445,210402.32190084085
2021-09-02,196107.37442347725,238675.53874324803,175800.21937048348,197802.7114891053,213655.2452559434
2021-09-03,195512.215152237,238288.7567074204,180242.3343149415,197153.37831344613,212859.65715169534
2021-09-06,195986.87619349678,238974.97982906346,182021.09024298104,197691.6451057435,211877.82024526224
2021-09-07,197717.03457972725,237521.75632595067,182877.7789255372,199394.40703048714,213706.12683084115
2021-09-08,197047.47510096748,236521.76441310887,181484.69823706063,198722.4247917176,212949.90783670053
2021-09-09,195908.36572596748,237151.22899745946,182002.36419927987,197481.05559768685,212640.65501382455
2021-09-13,195777.80588099678,236292.80626033788,180314.8839594117,197293.7748207093,212363.1119916688
2021-09-14,194017.398745987,242402.80602382665,179771.35514318856,195398.84317245492,215599.33577706918
2021-09-15,193224.67129847725,245473.55643581395,180247.76988470467,194576.15238418587,217640.40365579232
2021-09-16,192465.99551722725,251452.11854671483,182083.273623108,193274.7382759095,225693.2633588563
2021-09-17,191013.42697474678,251776.69801448827,180811.12386572274,191753.5016654969,224905.41495492563
2021-09-20,187901.07150599678,245793.04291652684,181734.3594080201,188411.19381179818,219872.52305581674
2021-09-21,188679.90478846748,253204.98098873143,184483.59849798592,188950.58317031869,225356.72197702035
2021-09-22,189368.5523409577,258883.30165218358,185900.64285528573,189590.7546028138,226339.55619790658
2021-09-23,189184.9039034577,262255.2870113755,192414.2832285157,189462.74574508675,228881.2669675599
