time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/reward,train/entropy_loss,train/loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl
89,1327,118784,58,43.014088,-45.35974221229553,7320.19091796875,0.12236328125,1.098809003829956,0.2,-0.012122929139150074,570,19590.22332458496,0.013419747352600098,0.00025,0.012717884
89,1355,120832,59,-16.608868,-45.39401273727417,4627.625,0.1029296875,1.0996671915054321,0.2,-0.009101468148583081,580,12072.992794799804,0.044225335121154785,0.00025,0.012323972
88,1383,122880,60,-0.2527314,-45.414498472213744,7378.71728515625,0.13154296875,1.1005276441574097,0.2,-0.010024411088670604,590,23543.214561462402,0.005488872528076172,0.00025,0.01207923
88,1410,124928,61,-1.2492746,-45.43854792118073,13405.8505859375,0.0744140625,1.1013749837875366,0.2,-0.0111104879884806,600,25009.882261657716,0.02624058723449707,0.00025,0.011564285
88,1437,126976,62,1.3352162,-45.470922517776486,11750.1123046875,0.08544921875,1.1028574705123901,0.2,-0.012824558187276125,610,23850.574044799803,0.024904608726501465,0.00025,0.012530673
88,1464,129024,63,244.1249,-45.50727624893189,15837.1640625,0.145703125,1.104073405265808,0.2,-0.01347732691647252,620,26456.44334716797,0.013320386409759521,0.00025,0.013804965
87,1491,131072,64,-10.248179,-45.536969017982486,3622.85595703125,0.12841796875,1.10487961769104,0.2,-0.010683507399517112,630,12884.018020629883,0.05541527271270752,0.00025,0.011457941
87,1518,133120,65,1.7162712,-45.58615434169769,11147.6611328125,0.251416015625,1.107739806175232,0.2,-0.007411753462656634,640,32764.515212249757,0.005413353443145752,0.00025,0.026308667
87,1546,135168,66,-0.7976823,-45.64430441856384,1130.3109130859375,0.234912109375,1.1091727018356323,0.2,-0.009521351676085033,650,10430.623560333252,0.04952406883239746,0.00025,0.020880006
87,1573,137216,67,-0.031692922,-45.72787182331085,2316.759765625,0.350341796875,1.1139439344406128,0.2,-0.0041193533688783646,660,13081.032873535156,0.04187828302383423,0.00025,0.02241113
87,1600,139264,68,-0.74611443,-45.820870757102966,972.4580688476562,0.29296875,1.1166751384735107,0.2,-0.010163325518078636,670,7326.917537689209,0.04351264238357544,0.00025,0.024806684
86,1627,141312,69,3.6908529,-45.92646050453186,240.4886474609375,0.324267578125,1.1212432384490967,0.2,-0.006615948338003363,680,1413.6966970443725,0.257060170173645,0.00025,0.038788136
86,1654,143360,70,-5.1034603,-46.005239844322205,315.1590881347656,0.250927734375,1.122385859489441,0.2,-0.008462676739145535,690,2712.320592880249,0.11615198850631714,0.00025,0.01899603
86,1681,145408,71,0.63258123,-46.05649874210358,1017.4776000976562,0.249560546875,1.1255648136138916,0.2,-0.011078878652187995,700,849.8069375991821,0.23294204473495483,0.00025,0.023305807
86,1709,147456,72,0.2611612,-46.11648108959198,1521.837890625,0.099609375,1.1268819570541382,0.2,-0.009524016389332247,710,7560.192839813232,0.06935703754425049,0.00025,0.012877064
86,1736,149504,73,-3.1880398,-46.14639184474945,42.63980484008789,0.218603515625,1.12906813621521,0.2,-0.011437221232336014,720,202.806094789505,0.39876216650009155,0.00025,0.032109782
85,1763,151552,74,-0.5529942,-46.24835689067841,19.175535202026367,0.21591796875,1.1335614919662476,0.2,-0.00888148950471077,730,98.06804538965226,0.5706698596477509,0.00025,0.017765256
85,1790,153600,75,-0.41650042,-46.3585922241211,24.88471221923828,0.26494140625,1.137299656867981,0.2,-0.002021483491989784,740,147.62702066898345,0.40405797958374023,0.00025,0.014555641
85,1817,155648,76,-1.915599,-46.47746551036835,90.56751251220703,0.2439453125,1.143616795539856,0.2,-0.005059975931362715,750,138.95643010139466,0.4095921516418457,0.00025,0.03277135
85,1844,157696,77,-0.71904254,-46.60052468776703,59.5048828125,0.267431640625,1.1451257467269897,0.2,-0.001701393702387577,760,241.82183556556703,0.2937447428703308,0.00025,0.029676326
85,1872,159744,78,-0.69034123,-46.64745969772339,25.322402954101562,0.28623046875,1.1478244066238403,0.2,-0.008305515549727716,770,98.75065921545028,0.3290853500366211,0.00025,0.020127747
85,1898,161792,79,2.3798966,-46.680440592765805,17.77020263671875,0.200146484375,1.147207498550415,0.2,-0.003709883049305063,780,88.56950113773345,0.42048895359039307,0.00025,0.013476102
85,1925,163840,80,4.627062,-46.70594520568848,73.61699676513672,0.230859375,1.1499664783477783,0.2,-0.009636478389438707,790,228.56287178993225,0.2458285093307495,0.00025,0.017759398
84,1953,165888,81,-1.5916415,-46.76325886249542,24.014163970947266,0.20380859375,1.1518161296844482,0.2,-0.009596909917308948,800,76.6482268691063,0.48856186866760254,0.00025,0.015066544
84,1980,167936,82,-0.8279543,-46.819611239433286,48.454994201660156,0.276025390625,1.1550443172454834,0.2,-0.004834228609979618,810,184.03706362247468,0.3014112114906311,0.00025,0.017956853
84,2007,169984,83,-2.0808382,-46.895055651664734,13.50727367401123,0.213134765625,1.1580911874771118,0.2,-0.004720619825820904,820,40.252675247192386,0.4800717234611511,0.00025,0.015773416
84,2035,172032,84,0.31988987,-46.97435579299927,7.598788261413574,0.229052734375,1.1600089073181152,0.2,-0.008067163566011004,830,53.40181879997253,0.4731253385543823,0.00025,0.024384923
